id,shoe_brand,model_name,price,mileage,main_focus,eco_friendly,foot_type
1,Nike,Air Zoom Pegasus 41,107.03,791,Trail Running,True,Extra Cushioning
2,Nike,ZoomX Vaporfly Next%,148.96,560,Cushioned,False,High Arches
3,Nike,React Infinity Run Flyknit,141.41,1080,Sprinting,False,Narrow Feet
4,Nike,Zoom Fly 4,135.3,532,Long Distance,True,Small Feet
5,Nike,Free RN 5.0,108.23,859,Neutral,False,Extra Cushioning
6,Nike,Wildhorse 7,148.58,894,Stability,False,Wide Feet
7,Nike,Terra Kiger 8,189.71,1169,Sprinting,True,Small Feet
8,Nike,Air Zoom Alphafly,107.0,858,Race,True,Narrow Feet
9,Nike,React Miler 3,118.25,878,Stability,True,High Arches
10,Nike,Structure 24,117.8,1156,Trail Running,True,Narrow Feet
11,Adidas,Ultraboost 22,130.25,916,Cushioned,True,High Arches
12,Adidas,Adizero Adios Pro 3,194.08,821,Speed Work,False,Neutral Feet
13,Adidas,Samba,166.02,543,Stability,False,Extra Cushioning
14,Adidas,Solarboost 4,139.57,522,Sprinting,True,Narrow Feet
15,Adidas,Terrex Agravic,141.41,595,Trail Running,False,High Arches
16,Adidas,Supernova+,175.58,816,Stability,False,Overpronation
17,Adidas,SL20.3,184.89,1173,Speed Work,False,Small Feet
18,Adidas,Solarglide 5,114.39,767,Daily Training,True,Overpronation
19,Adidas,Pulseboost HD,148.1,943,Sprinting,True,Neutral Feet
20,Adidas,Pureboost,170.41,1190,Stability,False,High Arches
21,Asics,Gel-Kayano 31,108.24,1128,Stability,True,High Arches
22,Asics,Gel-Nimbus 25,107.75,863,Cushioned,False,Neutral Feet
23,Asics,Metarun,179.9,1017,Trail Running,True,Overpronation
24,Asics,GT-2000 10,192.22,999,Cushioned,False,Small Feet
25,Asics,Gel-Cumulus 24,117.44,1113,Stability,True,High Arches
26,Asics,Novablast 3,177.4,1037,Sprinting,False,Extra Cushioning
27,Asics,Dynablast 2,100.0,1133,Daily Training,False,Narrow Feet
28,Asics,GEL-Venture 8,166.46,681,Trail Running,True,Wide Feet
29,Asics,GEL-Excite 9,121.38,1189,Cushioned,False,High Arches
30,Asics,GEL-Pulse 13,184.69,723,Neutral,True,Overpronation
31,Brooks,Ghost 16,198.32,1164,Long Distance,True,Narrow Feet
32,Brooks,Adrenaline GTS 23,143.38,592,Sprinting,True,Wide Feet
33,Brooks,Levitate 6,114.59,652,Neutral,True,Wide Feet
34,Brooks,Hyperion Tempo,108.04,671,Cushioned,True,Overpronation
35,Brooks,Launch 10,130.31,842,Race,False,Small Feet
36,Brooks,Revel 6,166.6,930,Race,True,Neutral Feet
37,Brooks,Glycerin 20,144.82,1170,Long Distance,True,Overpronation
38,Brooks,Cascadia 16,126.91,778,Sprinting,True,Small Feet
39,Brooks,Catamount,177.18,703,Long Distance,True,Small Feet
40,Brooks,Divide 3,178.22,971,Sprinting,True,Extra Cushioning
41,Hoka,Clifton 9,169.47,591,Neutral,False,Extra Cushioning
42,Hoka,Bondi 8,132.76,787,Race,False,Wide Feet
43,Hoka,Arahi 6,105.26,946,Sprinting,True,Neutral Feet
44,Hoka,Speedgoat 5,151.51,1108,Cushioned,False,Narrow Feet
45,Hoka,Mach 5,102.34,1079,Sprinting,True,High Arches
46,Hoka,Kawana,135.76,563,Daily Training,False,Neutral Feet
47,Hoka,Rincon 3,129.11,878,Cushioned,False,High Arches
48,Hoka,Torrent 2,178.63,655,Race,False,Wide Feet
49,Hoka,Challenger ATR 6,195.11,548,Cushioned,False,Narrow Feet
50,Hoka,Elevon 2,156.26,680,Speed Work,True,High Arches
51,Saucony,Endorphin Speed 4,117.63,843,Long Distance,False,Extra Cushioning
52,Saucony,Peregrine 12,111.09,1099,Stability,False,Small Feet
53,Saucony,Kinvara 13,155.4,918,Cushioned,True,Neutral Feet
54,Saucony,Triumph 20,193.33,1008,Trail Running,True,Extra Cushioning
55,Saucony,Ride 15,180.13,1115,Speed Work,True,Extra Cushioning
56,Saucony,Xodus Ultra,125.8,1137,Stability,True,Neutral Feet
57,Saucony,Freedom 5,184.23,863,Trail Running,False,High Arches
58,Saucony,Axon 2,123.53,925,Speed Work,True,Overpronation
59,Saucony,Guide 15,107.62,858,Trail Running,True,Narrow Feet
60,Saucony,Cohesion 14,147.57,1060,Long Distance,True,Extra Cushioning
61,New Balance,Fresh Foam 1080v13,161.15,953,Neutral,True,Extra Cushioning
62,New Balance,FuelCell Rebel v3,114.04,712,Speed Work,True,Narrow Feet
63,New Balance,FuelCell Prism,149.06,651,Cushioned,False,Overpronation
64,New Balance,Nitrel v4,159.85,1035,Stability,False,Small Feet
65,New Balance,More Trail v3,168.2,739,Neutral,False,Small Feet
66,New Balance,Hierro v7,108.0,654,Trail Running,True,Extra Cushioning
67,New Balance,Fresh Foam Roav,161.56,996,Long Distance,True,Wide Feet
68,New Balance,Fresh Foam Arishi,199.59,647,Long Distance,True,Overpronation
69,New Balance,870v5,129.31,799,Sprinting,True,Overpronation
70,New Balance,1500v6,159.61,936,Daily Training,False,Wide Feet
71,Mizuno,Wave Rider 28,121.06,778,Race,False,Extra Cushioning
72,Mizuno,Wave Inspire 18,109.2,514,Sprinting,True,Neutral Feet
73,Mizuno,Wave Sky 5,166.31,868,Speed Work,True,Extra Cushioning
74,Mizuno,Wave Horizon 6,192.6,1057,Daily Training,True,Small Feet
75,Mizuno,Wave Ultima 13,198.64,1087,Stability,True,Extra Cushioning
76,Mizuno,Wave Shadow 5,162.85,544,Long Distance,False,Wide Feet
77,Mizuno,Wave Equate 5,110.51,967,Race,True,Neutral Feet
78,Mizuno,Wave Skyrise 3,186.62,625,Sprinting,False,Small Feet
79,Mizuno,Wave Prophecy X,192.05,1125,Speed Work,False,Extra Cushioning
80,Mizuno,Wave Hayate 6,123.21,624,Neutral,False,Small Feet
81,Salomon,Speedcross 6,110.64,844,Daily Training,False,Overpronation
82,Salomon,Sense Ride 4,164.44,856,Cushioned,True,Small Feet
83,Salomon,Wildcross,137.26,962,Daily Training,True,High Arches
84,Salomon,XA Pro 3D,146.51,1188,Cushioned,True,Wide Feet
85,Salomon,Ultra Glide,105.2,1124,Long Distance,True,High Arches
86,Salomon,Alphacross 3,135.58,1133,Cushioned,True,Overpronation
87,Salomon,Predict RA,153.17,839,Cushioned,True,Overpronation
88,Salomon,Sense Pro 4,184.99,790,Cushioned,True,Neutral Feet
89,Salomon,Cross Hike,127.84,525,Daily Training,False,Neutral Feet
90,Salomon,Outpulse GTX,196.62,948,Neutral,True,Overpronation
91,Puma,Deviate Nitro Elite,127.86,896,Trail Running,False,Extra Cushioning
92,Puma,Velocity Nitro 2,173.71,1020,Cushioned,True,Narrow Feet
93,Puma,Magnify Nitro,181.87,824,Cushioned,False,Neutral Feet
94,Puma,Liberate Nitro,186.4,643,Speed Work,True,Overpronation
95,Puma,ForeverRun Nitro,101.38,1180,Speed Work,False,High Arches
96,Puma,Fast-R Nitro Elite,151.23,1070,Sprinting,True,Wide Feet
97,Puma,UltraRide,116.1,989,Cushioned,True,Wide Feet
98,Puma,Electrify Nitro,146.48,1123,Long Distance,False,Narrow Feet
99,Puma,Nitro Deviate,134.62,733,Cushioned,False,Overpronation
100,Puma,Fuse,194.83,924,Neutral,True,Extra Cushioning
101,Reebok,Floatride Energy 4,196.55,929,Sprinting,True,Neutral Feet
102,Reebok,Nano X2,187.6,873,Daily Training,False,Narrow Feet
103,Reebok,Forever Floatride Grow,193.74,1087,Stability,True,Wide Feet
104,Reebok,Zig Kinetica,184.0,1176,Speed Work,True,Neutral Feet
105,Reebok,Flashfilm,163.58,1123,Trail Running,False,Wide Feet
106,Reebok,Zig Dynamica,120.47,941,Daily Training,True,Overpronation
107,Reebok,Hiit TR,118.59,869,Neutral,False,Narrow Feet
108,Reebok,Liquifect 180,197.34,918,Cushioned,False,Wide Feet
109,Reebok,Astroride 2,135.41,872,Long Distance,False,High Arches
110,Reebok,Reebok Zig Elusion Energy,141.7,923,Stability,False,Wide Feet
